,best_AP_epoch,AP,AP0.5,AP0.95,APM,APL,AR,AR0.5,AR0.95,ARM,ARL,arch,regime,domain
dla_1x_color,110.0,0.4605692119439123,0.732618147824206,0.5115586946109917,0.3376591680180852,0.5827612753176887,0.5582142857142858,0.8321428571428572,0.6142857142857143,0.47966101694915253,0.6506578947368421,dla,1x,color
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4,46.0,0.6565650565684181,0.9298617987971467,0.763840557221225,0.6087201829801343,0.7141725916440763,0.7514285714285714,0.9678571428571429,0.8535714285714285,0.702542372881356,0.805921052631579,dla,1x,color
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd35-45,46.0,0.6284840819029559,0.9041491524466228,0.7480762594747618,0.5143432481005705,0.7326013846222964,0.7264285714285714,0.9607142857142857,0.8285714285714286,0.6483050847457626,0.8032894736842107,dla,1x,color
dla_1x_color_finetune_50e_bs32_mb8_lr5e-4_wd40-47,50.0,0.650880168724333,0.9135634244903817,0.7759284226694706,0.6173451310614014,0.7074895610892618,0.7417857142857144,0.9607142857142857,0.8357142857142857,0.7135593220338984,0.7874999999999999,dla,1x,color
dla_1x_color_finetune_bs16_mb8_lr5e-3,8.0,0.00176687204971377,0.011652921900344643,0.0,0.0016087068580310886,0.0028933944064460813,0.031071428571428573,0.15357142857142858,0.0,0.008474576271186442,0.0506578947368421,dla,1x,color
dla_1x_color_finetune_bs16_mb8_lr5e-4,8.0,0.5992007926748132,0.9025459993086502,0.7129262988000663,0.5406814185208604,0.7012467785565054,0.71,0.9535714285714286,0.8178571428571428,0.6618644067796611,0.7690789473684212,dla,1x,color
dla_1x_color_finetune_bs16_mb8_lr5e-5,10.0,0.5652351964228554,0.8766064812844601,0.6567841282431285,0.4800984822586691,0.6731574111645859,0.6735714285714286,0.95,0.7571428571428571,0.6135593220338984,0.7421052631578948,dla,1x,color
dla_1x_color_finetune_bs32_mb8_lr5e-3,2.0,0.0015996214005241597,0.01124858739843724,0.0,0.0006481555260358249,0.005183614451897606,0.034999999999999996,0.16785714285714284,0.0,0.021186440677966104,0.04802631578947369,dla,1x,color
dla_1x_color_finetune_bs32_mb8_lr5e-4,10.0,0.6003505654823598,0.8962456424234568,0.7156265297531718,0.5204298474403075,0.7123606673922225,0.7124999999999999,0.9571428571428572,0.8214285714285714,0.6423728813559323,0.7934210526315789,dla,1x,color
dla_1x_color_finetune_bs32_mb8_lr5e-5,10.0,0.5517406486422165,0.8768937005917418,0.6181648883901162,0.47567793475982006,0.6468001621465016,0.6485714285714286,0.9464285714285714,0.7178571428571429,0.5983050847457627,0.7118421052631579,dla,1x,color
dla_1x_color_finetune_bs56_mb8_lr5e-3,2.0,0.0029113631387729564,0.01906522918834077,0.0,0.003050762553920526,0.004880032600826,0.062142857142857146,0.2785714285714286,0.0,0.05338983050847458,0.07302631578947369,dla,1x,color
dla_1x_color_finetune_bs56_mb8_lr5e-4,6.0,0.6090353501379318,0.906650603750795,0.7389011579426277,0.5645135967462067,0.6904844235531199,0.7,0.9535714285714286,0.8142857142857143,0.6601694915254238,0.7539473684210527,dla,1x,color
dla_1x_color_finetune_bs56_mb8_lr5e-5,10.0,0.525007397868969,0.8488480303107321,0.6125978512994416,0.45121008790250955,0.6122111036921678,0.6289285714285714,0.9321428571428572,0.7178571428571429,0.5779661016949152,0.6881578947368421,dla,1x,color
dla_1x_color_finetune_bs8_mb8_lr5e-3,10.0,5.692853011128012e-05,0.00024190401223499105,0.0,3.962735791073464e-05,6.912462431843186e-05,0.007857142857142858,0.039285714285714285,0.0,0.00423728813559322,0.011184210526315788,dla,1x,color
dla_1x_color_finetune_bs8_mb8_lr5e-4,4.0,0.5867856369602663,0.8787992759389831,0.7133976625308421,0.5201520290778266,0.6943143448276964,0.6942857142857142,0.9392857142857143,0.8071428571428572,0.6364406779661017,0.7638157894736842,dla,1x,color
dla_1x_color_finetune_bs8_mb8_lr5e-5,8.0,0.5703923000097552,0.893672328435861,0.6559353298950453,0.4774264812963006,0.7038751298294925,0.6821428571428572,0.9642857142857143,0.7678571428571429,0.6076271186440678,0.7644736842105263,dla,1x,color
